"id";"x";"y"
1024;231;113
1025;197;131
17;35;36
6;14;-216
1544;-20;-51
523;29;169
1548;-118;-148
14;-204;-17
3089;12;177
1454;-195;-3
536;-38;-79
1562;11;-236
549;-5;190
1574;-80;-167
1575;-139;-19
1576;-119;-176
1577;-94;-168
554;189;-46
1579;-96;-192
1580;-147;-29
3629;-5;173
3630;32;190
2095;-13;207
3632;16;161
3633;16;216
3634;-20;185
3635;42;175
3636;6;201
3637;5;151
3638;30;216
3639;-28;206
3640;42;155
3641;0;220
3642;-21;164
3643;19;194
3644;-15;224
3645;27;148
3646;32;233
3647;-35;194
7233;-117;95
7234;-132;89
7235;-147;94
7236;-128;112
7237;-159;133
7238;-130;71
2913;207;-27
7240;-177;91
7241;-110;116
7242;-143;116
7243;-145;70
7244;-120;129
7245;-177;109
7246;-101;88
7247;-133;136
7248;-161;76
1619;61;184
1623;-34;224
2143;-25;-73
2663;-13;-37
615;-48;-63
1134;-66;-176
119;69;-30
1660;-76;133
639;-93;-147
129;171;-26
136;78;-51
142;-39;76
1560;-162;94
146;225;-52
1176;-159;113
159;-173;-5
3759;-177;22
1713;-8;-243
1714;23;-247
1717;-21;-240
697;-107;-170
698;166;-165
699;-46;217
4285;-12;-87
1729;5;238
708;-13;-218
4385;4;-40
713;-147;141
2777;-216;-28
1487;-75;-152
732;-35;-38
464;-114;74
1765;28;-200
1766;80;-197
1767;38;-212
3452;143;-139
1772;-27;-96
4335;20;-18
241;-51;202
250;10;-87
1578;-107;-145
4868;153;-178
3333;160;-148
266;2;-1
1581;-82;-187
1811;-194;29
2324;-64;-70
277;-63;156
3631;-26;235
285;-10;-4
1823;-4;-55
4384;-50;-47
1825;7;-71
4386;-14;-23
4387;-34;-57
4388;17;-56
4389;-32;-22
4390;-13;-104
4391;4;-22
4392;-67;-54
4393;25;-73
4394;-38;-5
4395;-53;-83
4396;31;-29
4397;-77;-39
4398;-9;-71
4399;-22;-7
4400;-78;-84
4401;35;-62
818;-56;-10
607;18;-171
5435;182;-145
5436;132;-178
5437;180;-175
5438;151;-127
5439;143;-191
5440;186;-159
5441;129;-143
5442;166;-188
5443;170;-133
5444;126;-161
325;54;166
5446;190;-26
5447;208;-46
328;50;192
3913;-203;11
5450;217;-66
5451;195;-5
5452;181;-61
3405;18;-38
1593;-13;65
1850;4;-251
1888;224;-20
4496;-222;-10
1851;32;-233
361;-52;-120
2922;-64;-92
370;33;-46
1639;-172;126
380;3;-98
385;7;75
1412;-81;-71
4493;-182;-21
4494;-212;25
4495;-202;-39
2960;41;205
913;-84;-56
916;25;-88
1432;-9;240
3338;145;-160
1582;-59;-162
2973;-60;-35
5445;200;-65
417;184;-100
1960;-46;185
7239;-99;106
428;-131;-151
942;-42;-97
1456;-180;8
5448;170;-45
438;22;-129
5449;211;-8
1468;-131;-169
1866;230;-36
1473;-48;-23
451;-187;-36
3524;46;222
458;-221;7
460;7;64
5453;179;-10
1488;-112;-191
1016;218;130
1490;-49;-213
1491;-46;-200
578;-3;-207
1497;-33;174
1018;250;120
479;-7;75
480;12;-197
3045;58;208
487;-111;-42
1022;233;90
1013;97;166
1014;210;108
1015;241;136
504;-70;-23
1017;214;92
1530;18;235
1019;194;111
1020;248;101
1021;209;147
3070;-8;156
1023;228;149
