"id";"x";"y"
4;141;271
6;103;-383
8;196;-172
9;251;-661
12;895;49
14;-342;-110
17;-142;-61
18;873;679
26;498;-25
30;34;-293
38;-460;403
40;-453;406
42;471;479
44;-198;50
58;278;-457
61;-112;-290
64;-657;309
68;-600;-958
76;609;773
78;-5;747
80;410;315
84;360;691
88;-282;63
97;296;-363
100;502;187
107;197;-155
115;-137;-55
116;106;404
119;-406;117
121;1433;804
122;1466;819
129;-73;821
136;107;485
140;-61;-262
142;-40;-145
146;-160;16
147;207;-237
149;34;-521
150;-50;173
151;-471;-145
153;-13;-193
155;270;-186
156;261;70
159;-34;30
167;-226;-60
170;-269;280
175;724;263
178;635;-399
187;2733;-1398
189;2285;-1105
190;2304;-1102
200;-1642;-436
205;2308;-1130
215;1376;818
224;-436;-153
231;847;689
236;1205;113
238;1227;287
240;199;-119
241;-208;-632
242;-117;-253
244;-321;-73
245;255;-169
246;-340;-366
247;-271;-482
248;251;-305
249;-458;81
250;-282;-141
251;-192;-279
253;-291;-105
254;-547;85
255;-337;-191
256;-272;-415
257;-33;56
258;-219;-274
260;-303;-235
261;-423;-141
263;-78;-641
265;92;-207
266;33;-279
268;181;-61
271;-229;99
272;-139;252
275;-383;-596
277;-43;-428
278;-258;-291
279;-107;3
281;457;88
282;-219;-245
283;-468;-419
284;282;-595
285;107;-340
286;634;352
287;-703;-119
305;1474;813
312;114;101
313;-100;513
319;220;-84
320;-676;-241
322;-120;19
325;-235;-474
328;-370;-448
336;635;20
338;270;997
339;612;186
354;300;65
361;73;-299
365;43;-320
367;-257;157
370;-76;-155
371;-331;-48
372;-68;-293
375;-401;-661
377;214;-524
378;-293;-470
379;-337;161
380;-36;-277
381;-32;-216
383;170;-109
384;-804;67
385;381;-395
395;-675;232
400;-4;-125
402;396;1074
411;882;749
414;1359;-421
416;47;-492
417;33;522
418;-1172;427
426;68;-417
427;-87;-375
428;395;-499
431;-546;-380
432;1000;-245
433;-492;-395
434;5;-84
435;64;289
436;-109;341
438;182;-343
439;483;-442
440;226;-9
442;-73;316
443;-319;-515
444;57;-217
446;391;-947
447;157;416
450;-50;-492
451;-116;-83
452;499;-348
455;172;-184
457;119;151
458;-197;426
459;97;-420
460;-43;-233
461;-151;317
463;-600;108
464;404;-22
465;-480;391
466;-33;-173
467;7;-76
468;-673;-1041
470;96;33
471;-90;-46
472;59;100
474;-79;-80
