"id";"title";"author_name";"image";"link";"summary";"slug";"date_crawled";"publish_date";"article_id";"news_source_id";"rss_source_id"
1476;"YouTube Loses Major Advertisers Over Offensive Videos";" Jon Blistein";"http://img.wennermedia.com/social/youtube-loses-advertisers-videos-homophobia-terrorism-68136b28-cc68-4b08-8ad3-6d7269ddc120.jpg";"http://www.rollingstone.com/culture/news/youtube-loses-major-advertisers-over-offensive-videos-w473377";"A number of major corporations have pulled their advertisements from YouTube after learning they were paired with videos promoting terrorism.";"YouTube_Loses_Major_Advertisers_Over_Offensive_Videos";"2017-04-09 09:31:01";"2017-03-23 00:00:00";"a490227200";14;1
1477;"Inside the Trump Effect: How One District Is Fighting Hate at School";" Ben Wofford";"http://img.wennermedia.com/social/trump-effect-in-highschool-superintendent-resign-f474ce3b-d1a9-4754-a741-033c89d3fa06.jpg";"http://www.rollingstone.com/culture/features/trump-effect-how-one-district-is-fighting-hate-at-school-w465998";"Some say an uptick in bullying incidents this fall were caused by the divisive election but how does a school fix the underlying problems?";"Inside_the_Trump_Effect:_How_One_District_Is_Fighting_Hate_at_School";"2017-04-09 09:31:07";"2017-03-23 00:00:00";"a490227200";14;1
1478;"Sects, Cults, Cannibals: Reza Aslan's Controversial Fringe Religion Show";" Eric Thurm";"http://img.wennermedia.com/social/the-believer-tv-show-cults-cannibalism-975ac144-da45-4a89-bafa-55ef76241d6a.jpg";"http://www.rollingstone.com/culture/features/reza-aslan-on-sects-cults-cannibals-fringe-religion-show-w473446";"Reza Aslan's CNN series 'Believer' exploring fringe religions, cults is one of the most controversial, and interesting, shows of the year.";"Sects,_Cults,_Cannibals:_Reza_Aslan's_Controversial_Fringe_Religion_Show";"2017-04-09 09:31:08";"2017-03-24 00:00:00";"a490313600";14;1
1479;"'Mass Effect Andromeda': Inside Making of Year's Biggest Sci-Fi Game";" Rachel Weber";"http://img.wennermedia.com/social/masseffectfeature_1401x788-332797d2-53a6-4cdf-8538-8a02197d9acc.png";"http://www.rollingstone.com/culture/news/mass-effect-andromeda-making-of-years-biggest-scifi-game-w473513";"How 'Mass Effect Andromeda,' this year's biggest science fiction game, strived for realism and wonder amongst the stars.";"'Mass_Effect_Andromeda':_Inside_Making_of_Year's_Biggest_Sci-Fi_Game";"2017-04-09 09:31:09";"2017-03-24 00:00:00";"a490313600";14;1
1480;"'Mortal Kombat,' 'Tomb Raider' Lead Video Game Hall of Fame Finalists";" Jon Blistein";"http://img.wennermedia.com/social/a2wxe6-9b656731-72bb-4ee5-b009-5d9501cf34af.jpg";"http://www.rollingstone.com/culture/news/mortal-kombat-tomb-raider-lead-video-game-hall-of-fame-noms-w473893";"'Mortal Kombat,' 'Tomb Raider' and 'Donkey Kong' top the 2017 long-list for the World Video Game Hall of Fame's class of 2017.";"'Mortal_Kombat,'_'Tomb_Raider'_Lead_Video_Game_Hall_of_Fame_Finalists";"2017-04-09 09:31:10";"2017-03-28 00:00:00";"a490659200";14;1
1481;"Anne Hathaway Swings 'Wrecking Ball' on 'Lip Sync Battle'";" Ryan Reed";"http://img.wennermedia.com/social/rs-191872-Screen-Shot-2015-04-10-at-10.04.05-AM.png";"http://www.rollingstone.com/tv/videos/watch-anne-hathaway-swing-epic-wrecking-ball-on-lip-sync-battle-20150410";"Watch Anne Hathaway literally come in like a ""Wrecking Ball"" on 'Lip Sync Battle.'";"Anne_Hathaway_Swings_'Wrecking_Ball'_on_'Lip_Sync_Battle'";"2017-04-09 09:31:16";"2015-04-10 00:00:00";"a428624000";14;1
1482;"Why We Needed 'Logan' to Kill the Modern Superhero Movie";" David Fear";"http://img.wennermedia.com/social/logan-83c4ae67-e680-4729-801b-8c319cbee533.jpg";"http://www.rollingstone.com/movies/news/why-we-needed-logan-to-kill-the-modern-superhero-movie-w470501";"Why we needed 'Logan' to kill the superhero movie  and set the stage for a rebirth that proves you can do more than sell toys with superhero stories.";"Why_We_Needed_'Logan'_to_Kill_the_Modern_Superhero_Movie";"2017-04-09 09:31:18";"2017-03-07 00:00:00";"a488844800";14;1
1483;"Werner Herzog: The Art of Being a Death-Defying, Gonzo Filmmaking Genius";" Erik Hedegaard";"http://img.wennermedia.com/social/wener-herzog-rolling-stone-interview-read-24361e8c-4257-40c6-be02-7cefa8d931b4.jpg";"http://www.rollingstone.com/movies/features/werner-herzog-the-art-of-becoming-a-gonzo-filmmaking-genius-w473177";"Werner Herzog has survived gunshots and stared into volcanoes  how the German filmmaker became cinema's madman genius and lived to tell about it.";"Werner_Herzog:_The_Art_of_Being_a_Death-Defying,_Gonzo_Filmmaking_Genius";"2017-04-09 09:31:25";"2017-03-23 00:00:00";"a490227200";14;1
1484;"Toronto Film Festival 2016: 'Moonlight' Is a Masterpiece";" David Fear";"http://img.wennermedia.com/social/rs-moonlight-f1077329-1de0-4e38-b6b8-395a0c9674b4.jpg";"http://www.rollingstone.com/movies/news/toronto-film-festival-2016-moonlight-is-a-masterpiece-w438988";"The 2016 Toronto Film Festival just gave us a strong contender for the best movie of the year: 'Moonlight,' a three-part coming-of-age masterpiece.";"Toronto_Film_Festival_2016:_'Moonlight'_Is_a_Masterpiece";"2017-04-09 09:31:27";"2016-09-12 00:00:00";"a473638400";14;1
1485;"Why Did Steven Spielberg's 'The BFG' Flop?";" Charles Bramesco";"http://img.wennermedia.com/social/rs-247308-bfg-movie-2016-mark-rylance-copy.jpg";"http://www.rollingstone.com/movies/news/why-did-steven-spielbergs-the-bfg-flop-20160705";"Why, exactly, did Steven Spielberg's 'The BFG' flop? Five reasons why the director's adaptation of the Roald Dahl classic may have tanked.";"Why_Did_Steven_Spielberg's_'The_BFG'_Flop?";"2017-04-09 09:31:29";"2016-07-05 00:00:00";"a467676800";14;1
