"id";"relevance";"date_added";"article_id";"entity_id"
1;0.0;"2017-04-14 19:18:28";1;30
2;0.2;"2017-04-14 19:18:28";1;1013
3;0.2;"2017-04-14 19:18:29";1;1014
4;0.2;"2017-04-14 19:18:29";1;1015
5;0.2;"2017-04-14 19:18:29";1;119
6;0.2;"2017-04-14 19:18:29";1;1016
7;0.2;"2017-04-14 19:18:29";1;1017
8;0.2;"2017-04-14 19:18:29";1;1018
9;0.2;"2017-04-14 19:18:29";1;1019
10;0.2;"2017-04-14 19:18:30";1;1020
11;0.2;"2017-04-14 19:18:30";1;1021
12;0.2;"2017-04-14 19:18:30";1;1022
13;0.2;"2017-04-14 19:18:30";1;1023
14;0.2;"2017-04-14 19:18:30";1;1024
15;0.2;"2017-04-14 19:18:30";1;1025
7905;0.2;"2017-04-14 12:02:00";2;3629
7906;0.2;"2017-04-14 12:02:00";2;385
7907;0.2;"2017-04-14 12:02:00";2;328
7908;0.2;"2017-04-14 12:02:00";2;3089
7909;0.2;"2017-04-14 12:02:00";2;3630
7910;0.2;"2017-04-14 12:02:00";2;2960
7911;0.2;"2017-04-14 12:02:00";2;1960
7912;0.2;"2017-04-14 12:02:00";2;3631
7913;0.2;"2017-04-14 12:02:01";2;1497
7914;0.2;"2017-04-14 12:02:01";2;3632
7915;0.8;"2017-04-14 12:02:01";2;549
7916;0.2;"2017-04-14 12:02:01";2;3633
7917;0.2;"2017-04-14 12:02:01";2;325
7918;0.2;"2017-04-14 12:02:01";2;3045
7919;0.2;"2017-04-14 12:02:01";2;3524
7920;0.2;"2017-04-14 12:02:01";2;1623
7921;0.2;"2017-04-14 12:02:01";2;479
7922;0.2;"2017-04-14 12:02:02";2;285
7923;0.2;"2017-04-14 12:02:03";2;3634
7924;0.2;"2017-04-14 12:02:03";2;1660
7925;0.2;"2017-04-14 12:02:03";2;699
7926;0.2;"2017-04-14 12:02:03";2;3635
7927;0.2;"2017-04-14 12:02:03";2;17
7928;0.2;"2017-04-14 12:02:03";2;3636
7929;0.2;"2017-04-14 12:02:03";2;2095
7930;0.2;"2017-04-14 12:02:03";2;142
7931;0.2;"2017-04-14 12:02:04";2;1530
7932;0.2;"2017-04-14 12:02:04";2;1619
7933;0.2;"2017-04-14 12:02:04";2;1729
7934;0.2;"2017-04-14 12:02:04";2;3637
7935;0.2;"2017-04-14 12:02:04";2;3638
7936;0.2;"2017-04-14 12:02:04";2;3070
7937;0.0;"2017-04-14 12:02:04";2;712
7938;0.2;"2017-04-14 12:02:04";2;277
7939;0.2;"2017-04-14 12:02:04";2;460
7940;0.2;"2017-04-14 12:02:04";2;241
7941;0.2;"2017-04-14 12:02:05";2;3639
7942;0.2;"2017-04-14 12:02:05";2;3640
7943;0.2;"2017-04-14 12:02:05";2;3641
7944;0.0;"2017-04-14 12:02:05";2;1731
7945;0.2;"2017-04-14 12:02:05";2;1013
7946;0.2;"2017-04-14 12:02:05";2;1593
7947;0.0;"2017-04-14 12:02:05";2;1426
7948;0.2;"2017-04-14 12:02:05";2;3642
7949;0.2;"2017-04-14 12:02:05";2;3643
7950;0.2;"2017-04-14 12:02:06";2;3644
7951;0.2;"2017-04-14 12:02:06";2;3645
7952;0.2;"2017-04-14 12:02:06";2;1432
7953;0.2;"2017-04-14 12:02:06";2;523
7954;0.2;"2017-04-14 12:02:06";2;3646
7955;0.0;"2017-04-14 12:02:06";2;58
7956;0.2;"2017-04-14 12:02:06";2;266
7957;0.2;"2017-04-14 12:02:06";2;3647
10181;0.2;"2017-04-14 12:16:13";3;1823
10182;0.2;"2017-04-14 12:16:13";3;136
10183;0.2;"2017-04-14 12:16:13";3;1825
10184;0.2;"2017-04-14 12:16:13";3;1544
10185;0.2;"2017-04-14 12:16:13";3;732
10186;0.2;"2017-04-14 12:16:13";3;4384
10187;0.2;"2017-04-14 12:16:13";3;4385
10188;0.2;"2017-04-14 12:16:13";3;487
10189;0.2;"2017-04-14 12:16:13";3;17
10190;0.2;"2017-04-14 12:16:13";3;3405
10191;0.2;"2017-04-14 12:16:14";3;4386
10192;0.0;"2017-04-14 12:16:14";3;4284
10193;0.2;"2017-04-14 12:16:14";3;460
10194;0.2;"2017-04-14 12:16:14";3;4387
10195;0.2;"2017-04-14 12:16:14";3;361
10196;0.2;"2017-04-14 12:16:14";3;4388
10197;0.2;"2017-04-14 12:16:14";3;1772
10198;0.2;"2017-04-14 12:16:14";3;1412
10199;0.2;"2017-04-14 12:16:14";3;2663
10200;0.2;"2017-04-14 12:16:14";3;2973
10201;0.2;"2017-04-14 12:16:14";3;479
10202;0.2;"2017-04-14 12:16:15";3;285
10203;0.8;"2017-04-14 12:16:15";3;380
10204;0.2;"2017-04-14 12:16:15";3;4389
10205;0.2;"2017-04-14 12:16:15";3;119
10206;0.2;"2017-04-14 12:16:15";3;504
10207;0.2;"2017-04-14 12:16:15";3;2324
10208;0.2;"2017-04-14 12:16:15";3;4390
10209;0.2;"2017-04-14 12:16:15";3;4391
10210;0.2;"2017-04-14 12:16:16";3;4392
10211;0.2;"2017-04-14 12:16:16";3;1473
10212;0.2;"2017-04-14 12:16:16";3;615
10213;0.2;"2017-04-14 12:16:16";3;4393
10214;0.2;"2017-04-14 12:16:16";3;370
10215;0.2;"2017-04-14 12:16:16";3;1593
10216;0.2;"2017-04-14 12:16:16";3;4394
10217;0.2;"2017-04-14 12:16:16";3;818
10218;0.2;"2017-04-14 12:16:16";3;4395
10219;0.2;"2017-04-14 12:16:17";3;4396
10220;0.2;"2017-04-14 12:16:17";3;2922
10221;0.2;"2017-04-14 12:16:17";3;4285
10222;0.2;"2017-04-14 12:16:17";3;4397
10223;0.2;"2017-04-14 12:16:17";3;4398
10224;0.2;"2017-04-14 12:16:17";3;4399
10225;0.2;"2017-04-14 12:16:17";3;385
10226;0.2;"2017-04-14 12:16:17";3;438
10227;0.2;"2017-04-14 12:16:17";3;4400
10228;0.2;"2017-04-14 12:16:17";3;2143
10229;0.2;"2017-04-14 12:16:18";3;913
10230;0.2;"2017-04-14 12:16:18";3;4335
10231;0.2;"2017-04-14 12:16:18";3;916
10232;0.2;"2017-04-14 12:16:18";3;250
10233;0.2;"2017-04-14 12:16:18";3;942
10234;0.2;"2017-04-14 12:16:19";3;142
10235;0.2;"2017-04-14 12:16:19";3;4401
10236;0.2;"2017-04-14 12:16:19";3;536
10573;0.2;"2017-04-14 12:19:00";4;487
10574;0.2;"2017-04-14 12:19:00";4;159
10575;0.2;"2017-04-14 12:19:00";4;4493
10576;0.8;"2017-04-14 12:19:00";4;2777
10577;0.2;"2017-04-14 12:19:00";4;1454
10578;0.2;"2017-04-14 12:19:01";4;14
10579;0.2;"2017-04-14 12:19:01";4;4494
10580;0.2;"2017-04-14 12:19:01";4;451
10581;0.2;"2017-04-14 12:19:01";4;1456
10582;0.2;"2017-04-14 12:19:01";4;119
10583;0.2;"2017-04-14 12:19:01";4;1660
10584;0.2;"2017-04-14 12:19:01";4;1575
10585;0.2;"2017-04-14 12:19:01";4;3913
10586;0.2;"2017-04-14 12:19:01";4;1811
10587;0.2;"2017-04-14 12:19:01";4;458
10588;0.2;"2017-04-14 12:19:02";4;1580
10589;0.2;"2017-04-14 12:19:02";4;3759
10590;0.0;"2017-04-14 12:19:02";4;536
10591;0.2;"2017-04-14 12:19:02";4;4495
10592;0.2;"2017-04-14 12:19:02";4;4496
13274;0.2;"2017-04-14 12:34:40";5;5435
13275;0.2;"2017-04-14 12:34:40";5;5436
13276;0.2;"2017-04-14 12:34:40";5;3338
13277;0.2;"2017-04-14 12:34:40";5;698
13278;0.8;"2017-04-14 12:34:40";5;5437
13279;0.2;"2017-04-14 12:34:40";5;438
13280;0.2;"2017-04-14 12:34:40";5;1766
13281;0.2;"2017-04-14 12:34:40";5;119
13282;0.2;"2017-04-14 12:34:40";5;17
13283;0.2;"2017-04-14 12:34:41";5;3333
13284;0.2;"2017-04-14 12:34:41";5;5438
13285;0.2;"2017-04-14 12:34:41";5;417
13286;0.2;"2017-04-14 12:34:41";5;5439
13287;0.2;"2017-04-14 12:34:41";5;5440
13288;0.2;"2017-04-14 12:34:41";5;5441
13289;0.2;"2017-04-14 12:34:41";5;4868
13290;0.2;"2017-04-14 12:34:41";5;5442
13291;0.2;"2017-04-14 12:34:42";5;3452
13292;0.2;"2017-04-14 12:34:42";5;5443
13293;0.8;"2017-04-14 12:34:42";5;5444
13294;0.2;"2017-04-14 12:34:45";6;5445
13295;0.2;"2017-04-14 12:34:46";6;5446
13296;0.2;"2017-04-14 12:34:46";6;5447
13297;0.2;"2017-04-14 12:34:47";6;119
13298;0.2;"2017-04-14 12:34:47";6;136
13299;0.2;"2017-04-14 12:34:47";6;17
13300;0.2;"2017-04-14 12:34:47";6;554
13301;0.8;"2017-04-14 12:34:47";6;146
13302;0.8;"2017-04-14 12:34:47";6;417
13303;0.2;"2017-04-14 12:34:47";6;1888
13304;0.0;"2017-04-14 12:34:47";6;1860
13305;0.2;"2017-04-14 12:34:47";6;5448
13306;0.2;"2017-04-14 12:34:47";6;5449
13307;0.2;"2017-04-14 12:34:48";6;5450
13308;0.2;"2017-04-14 12:34:48";6;5451
13309;0.2;"2017-04-14 12:34:48";6;129
13310;0.2;"2017-04-14 12:34:48";6;1866
13311;0.2;"2017-04-14 12:34:48";6;5452
13312;0.2;"2017-04-14 12:34:48";6;2913
13313;0.2;"2017-04-14 12:34:48";6;5453
879;0.2;"2017-04-14 11:25:38";7;1487
880;0.2;"2017-04-14 11:25:38";7;1574
881;0.2;"2017-04-14 11:25:38";7;438
882;0.2;"2017-04-14 11:25:38";7;1575
883;0.2;"2017-04-14 11:25:39";7;1576
884;0.2;"2017-04-14 11:25:39";7;1134
885;0.2;"2017-04-14 11:25:39";7;697
886;0.2;"2017-04-14 11:25:39";7;1490
