"source";"target";"value"
1013;1014;4
1013;1015;4
1013;119;4
1013;1016;4
1013;1017;4
1013;1018;4
1013;1019;4
1013;1020;4
1013;1021;4
1013;1022;4
1013;1023;4
1013;1024;4
1013;1025;4
3629;385;4
3629;328;4
3629;3089;4
3629;3630;4
3629;2960;4
3629;1960;4
3629;3631;4
3629;1497;4
3629;3632;4
3629;549;16
3629;3633;4
3629;325;4
3629;3045;4
3629;3524;4
3629;1623;4
3629;479;4
3629;285;4
3629;3634;4
3629;1660;4
3629;699;4
3629;3635;4
3629;17;4
3629;3636;4
3629;2095;4
3629;142;4
3629;1530;4
3629;1619;4
3629;1729;4
3629;3637;4
3629;3638;4
3629;3070;4
3629;277;4
3629;460;4
3629;241;4
3629;3639;4
3629;3640;4
3629;3641;4
3629;1013;4
3629;1593;4
3629;3642;4
3629;3643;4
3629;3644;4
3629;3645;4
3629;1432;4
3629;523;4
3629;3646;4
3629;266;4
3629;3647;4
1823;136;4
1823;1825;4
1823;1544;4
1823;732;4
1823;4384;4
1823;4385;4
1823;487;4
1823;17;4
1823;3405;4
1823;4386;4
1823;460;4
1823;4387;4
1823;361;4
1823;4388;4
1823;1772;4
1823;1412;4
1823;2663;4
1823;2973;4
1823;479;4
1823;285;4
1823;380;16
1823;4389;4
1823;119;4
1823;504;4
1823;2324;4
1823;4390;4
1823;4391;4
1823;4392;4
1823;1473;4
1823;615;4
1823;4393;4
1823;370;4
1823;1593;4
1823;4394;4
1823;818;4
1823;4395;4
1823;4396;4
1823;2922;4
1823;4285;4
1823;4397;4
1823;4398;4
1823;4399;4
1823;385;4
1823;438;4
1823;4400;4
1823;2143;4
1823;913;4
1823;4335;4
1823;916;4
1823;250;4
1823;942;4
1823;142;4
1823;4401;4
1823;536;4
487;159;4
487;4493;4
487;2777;16
487;1454;4
487;14;4
487;4494;4
487;451;4
487;1456;4
487;119;4
487;1660;4
487;1575;4
487;3913;4
487;1811;4
487;458;4
487;1580;4
487;3759;4
487;4495;4
487;4496;4
5435;5436;4
5435;3338;4
5435;698;4
5435;5437;16
5435;438;4
5435;1766;4
5435;119;4
5435;17;4
5435;3333;4
5435;5438;4
5435;417;4
5435;5439;4
5435;5440;4
5435;5441;4
5435;4868;4
5435;5442;4
5435;3452;4
5435;5443;4
5435;5444;16
5445;5446;4
5445;5447;4
5445;119;4
5445;136;4
5445;17;4
5445;554;4
5445;146;16
5445;417;16
5445;1888;4
5445;5448;4
5445;5449;4
5445;5450;4
5445;5451;4
5445;129;4
5445;1866;4
5445;5452;4
5445;2913;4
5445;5453;4
1487;1574;4
1487;438;4
1487;1575;4
1487;1576;4
1487;1134;4
1487;697;4
1487;1490;4
1487;1491;4
1487;285;16
1487;1577;4
1487;428;4
1487;361;4
1487;1488;4
1487;1548;10
1487;1578;16
1487;1579;4
1487;1580;4
1487;1581;4
1487;1468;16
1487;1582;4
1487;639;4
1487;266;4
1176;7233;4
1176;7234;4
1176;7235;4
1176;7236;4
1176;1560;4
1176;17;4
1176;7237;4
1176;7238;4
1176;7239;4
1176;1575;16
1176;142;4
1176;7240;4
1176;7241;4
1176;7242;4
1176;7243;4
1176;713;4
1176;277;4
1176;7244;4
1176;1580;4
1176;7245;4
1176;7246;4
1176;464;4
1176;7247;4
1176;7248;4
1176;1639;4
607;1765;4
607;1490;4
607;285;4
607;708;4
607;1766;4
607;480;4
607;6;4
607;1767;4
607;578;4
607;266;16
1765;1713;4
1765;1850;4
1765;1490;4
1765;1491;4
1765;285;16
1765;708;4
1765;1766;4
1765;480;4
1765;1717;4
1765;1767;4
1765;6;4
1765;1714;4
1765;1562;4
1765;578;4
1765;1851;4
1765;266;16
