"id";"x";"y"
3;348;3533
4;132;-941
6;-204;-79
8;792;1799
9;610;-437
12;846;2053
13;1698;1627
14;-32;316
16;-755;2428
17;-837;-379
18;2144;448
20;-2189;3664
23;1750;1746
25;-1826;-165
26;-854;295
29;357;2688
30;121;-892
34;-181;2303
36;-348;1670
37;519;-448
38;-559;378
40;-897;574
41;486;1237
42;387;1149
43;-238;2477
44;-776;-422
45;-204;3470
46;1410;1855
47;465;2154
50;-90;3691
55;-627;3529
57;891;3083
58;-857;-355
59;366;2524
61;190;532
62;381;2995
64;651;1829
68;131;-874
73;371;3446
74;864;809
76;495;1378
78;-2159;29
79;-274;2668
80;523;1447
81;2048;901
82;732;2072
84;221;-439
85;-781;-1145
88;-300;-410
89;2267;1165
93;2300;5496
94;1902;-3246
96;286;2093
97;-502;594
98;733;4000
100;1412;1876
101;1277;1020
104;-1600;2265
105;1101;2370
107;899;1336
108;-1291;1382
110;-456;4193
111;345;2268
112;2282;5476
115;1241;1182
116;118;306
119;-160;1175
121;-425;1769
122;-2713;2850
126;1046;1503
129;178;446
132;1677;1543
134;-337;828
136;742;-460
139;-1149;-2274
140;71;-758
142;-784;-873
145;774;96
146;-478;-711
147;335;-542
149;846;1577
150;-270;-381
151;-354;-74
152;2872;1048
153;-255;-1100
154;-1500;-1009
155;45;-541
156;263;313
159;-483;-284
160;-55;2045
161;-363;3734
162;-1311;2164
164;1741;486
166;-1094;-270
167;-29;-653
169;-339;3726
170;-953;253
171;834;764
172;-190;1811
174;-608;-409
175;462;1698
177;44;2019
178;365;1992
179;130;1128
180;361;1829
181;710;2301
187;893;3407
189;919;3491
190;719;3426
191;1;2271
193;390;1673
194;214;2480
197;197;1830
199;2076;2939
200;481;2259
201;440;2760
202;132;3300
203;1198;1117
204;1267;4164
205;61;2642
206;822;2008
207;64;3708
211;430;1875
212;1507;2311
215;-446;2292
216;-35;2622
218;975;3467
219;816;3776
221;267;2362
223;-249;809
224;1055;1082
226;1732;-21
227;712;3331
229;2511;6378
230;1150;1853
231;1284;1378
232;255;1085
233;-62;4717
234;2165;2049
236;-498;505
238;-324;531
240;-879;-1576
241;-891;-880
242;-1680;-940
244;-450;-1432
245;-1263;-1647
246;-1145;-1421
247;-1005;-1049
248;-385;-1360
249;-1190;-942
250;-1509;-1055
251;-1113;-1142
252;-367;-2066
253;-488;-992
254;-1358;-976
255;-1233;-1345
256;-301;-1083
257;-985;-1599
258;-1061;-1177
259;-797;2499
260;-516;-104
261;-1197;-1434
263;-729;-908
265;-1315;-1435
266;-377;-1210
267;-277;-2330
268;217;-1124
271;458;-1410
272;269;-837
275;286;-598
277;-406;-1224
278;-202;-1057
279;126;-955
281;835;38
282;-187;-857
283;-426;-1722
284;-1082;-1659
285;-336;-1562
286;1100;278
287;25;309
288;-359;1432
294;-1593;-2466
295;3317;-2623
299;878;2825
303;924;1410
305;711;1746
309;-627;1783
312;-445;403
313;-1003;119
318;1171;-690
319;-1098;477
320;601;387
322;-793;329
325;117;-980
328;-372;-73
332;-381;1578
336;-352;563
337;272;1633
338;733;801
339;600;727
348;-1046;-95
353;405;680
354;-677;585
355;-669;1276
356;803;1272
357;2972;-2599
358;839;3959
359;1565;-1576
360;1299;-451
361;-323;-1544
362;-1019;-1393
363;-193;266
365;-805;-527
367;-1025;-1327
369;-747;983
370;-327;-482
371;39;-1283
372;-751;-865
374;515;-715
375;-457;-1819
376;-1192;-1642
377;244;-1148
378;-23;-376
379;-242;-557
380;-1047;-1197
381;-889;-696
383;-50;-701
384;-273;-1006
385;27;-246
389;1145;-2086
390;893;1685
393;4256;2938
395;-311;1142
397;-240;884
400;-784;453
401;1448;2803
402;947;1110
403;732;527
404;882;925
405;-212;-1265
407;-995;-1027
408;269;2472
409;1155;415
411;140;1290
412;635;-460
413;-1261;943
414;959;1222
416;-235;34
417;-516;383
418;-3493;527
421;325;356
426;75;-729
427;21;-765
428;-1017;-1522
431;-127;-1142
432;687;362
433;377;-1138
434;-843;-561
435;-1680;-613
436;-1380;-348
438;-1379;-1159
439;-90;-1744
440;-170;-506
442;-1610;-506
443;331;-1472
444;174;-1220
445;-40;-1943
446;-277;-1461
447;-1452;-585
450;139;-1660
451;588;-628
452;-229;-682
454;340;-1428
455;-113;-1130
457;-1474;-562
458;-1304;-270
459;-122;-1258
460;-1011;-1061
461;-1422;-729
463;-183;125
464;360;-749
465;11;-480
466;-877;-904
467;3;-1322
468;870;-1164
469;104;-1589
470;-18;-741
471;-106;-1257
472;-40;-924
474;13;-1300
475;-603;-320
476;282;403
478;82;-2394
479;-431;-1151
480;-130;-698
481;392;-439
482;-236;-729
483;-1443;-19
484;-1804;-432
485;-1139;-403
486;-618;-1962
487;-253;-969
488;-908;-1722
489;-1040;-1529
490;269;-1198
491;-61;-1749
492;-1251;-1581
493;-814;-2183
494;-746;-918
495;315;-306
496;-365;-1744
497;-569;-986
499;-1013;-1484
500;-1139;-1200
501;-617;-2072
503;-651;-91
504;-46;-1327
505;-1160;-1024
506;-559;-1732
508;721;-1185
509;-1085;-2965
510;-474;-1423
511;-967;-512
512;-684;-425
514;545;-240
515;-927;-2102
516;-1161;-886
517;-1665;398
518;-547;-2115
519;-480;-1173
520;-683;-2100
523;306;-1085
524;-403;-1532
526;75;76
528;67;109
529;-702;-2640
530;67;-2021
531;-750;-1676
533;-1103;-760
534;-559;648
535;-393;-1656
536;-250;-648
537;927;-628
538;373;-551
540;-201;1067
541;962;-768
542;235;-677
543;-172;-47
544;391;-278
545;-455;33
