"id";"name";"date_added";"entity_type_id"
1;"Dataquick";"2017-02-01 14:19:54";1
2;"Misty Douglas";"2017-02-01 14:19:55";2
3;"Judy Garland";"2017-02-01 14:19:55";2
4;"judge";"2017-02-01 14:19:55";3
5;"real estate research";"2017-02-01 14:19:56";4
6;"California";"2017-02-01 14:19:56";5
7;"judge.lauren.beale@latimes.com";"2017-02-01 14:19:56";6
8;"L.A.";"2017-02-01 14:19:56";7
9;"sheriff";"2017-02-01 14:19:56";3
10;"L.A. County Sheriff's Civil Management Unit";"2017-02-01 14:19:56";8
11;"Sid Luft";"2017-02-01 14:19:56";2
12;"singer";"2017-02-01 14:19:56";3
13;"the Tony Award";"2017-02-01 14:19:58";9
14;"New York";"2017-02-01 14:19:59";7
15;"Midnight in Paris";"2017-02-01 14:19:59";10
16;"lead actress";"2017-02-01 14:20:00";3
17;"United States";"2017-02-01 14:20:00";11
18;"Stockard Channing";"2017-02-01 14:20:00";2
19;"Classic Stage Company";"2017-02-01 14:20:00";1
20;"Hugh Dancy";"2017-02-01 14:20:00";2
21;"Tracie Bennett";"2017-02-01 14:20:00";2
22;"Nina Arianda";"2017-02-01 14:20:00";2
23;"Christopher Plummer";"2017-02-01 14:20:00";2
24;"Venus in Fur";"2017-02-01 14:20:00";10
25;"Frances McDormand";"2017-02-01 14:20:00";2
26;"Paris";"2017-02-01 14:20:00";7
27;"Wes Bentley";"2017-02-01 14:20:01";2
28;"Casey Deutsch";"2017-02-01 14:20:03";2
29;"Tony Bennett";"2017-02-01 14:20:03";2
30;"The New York Times";"2017-02-01 14:20:03";1
31;"Peter, Paul and Mary";"2017-02-01 14:20:03";12
32;"ticket manager";"2017-02-01 14:20:03";3
33;"New School for Social Research in New York";"2017-02-01 14:20:04";8
34;"Beatles";"2017-02-01 14:20:04";1
35;"Geraldine Bernstein";"2017-02-01 14:20:04";2
36;"Shea Stadium";"2017-02-01 14:20:04";13
37;"the Animals";"2017-02-01 14:20:04";12
38;"Columbia University";"2017-02-01 14:20:04";8
39;"The Rascals";"2017-02-01 14:20:05";1
40;"Columbia University";"2017-02-01 14:20:05";13
41;"Madison Square Garden";"2017-02-01 14:20:05";13
42;"manager";"2017-02-01 14:20:05";3
43;"Carnegie Hall";"2017-02-01 14:20:05";13
44;"The New York Times";"2017-02-01 14:20:05";14
45;"the Stones";"2017-02-01 14:20:05";12
46;"Duke Ellington";"2017-02-01 14:20:06";2
47;"Liverpool";"2017-02-01 14:20:06";7
48;"children.news.obits@latimes.com";"2017-02-01 14:20:06";6
49;"ticket manager at Carnegie Hall";"2017-02-01 14:20:06";3
50;"Ornette Coleman";"2017-02-01 14:20:06";2
51;"Dion";"2017-02-01 14:20:06";2
52;"Bobby Darin";"2017-02-01 14:20:07";2
53;"Sid Bernstein";"2017-02-01 14:20:07";2
54;"New York hospital";"2017-02-01 14:20:07";8
